Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Net Proceeds,PnL,PnL %,Exit Reason,Days Held
INFY.NS,2022-03-22 00:00:00+05:30,1730.10205078125,2022-04-18 00:00:00+05:30,1486.2708740234375,19,32905.26896484375,28210.90745983887,-4694.361505004883,-14.266291243570675,Stop Loss,27
APOLLOHOSP.NS,2022-03-16 00:00:00+05:30,4889.3056640625,2022-05-02 00:00:00+05:30,4257.4287109375,6,29369.163984375,25519.027693359374,-3850.1362910156276,-13.1094514405108,Stop Loss,47
TITAN.NS,2022-03-21 00:00:00+05:30,2672.182373046875,2022-05-02 00:00:00+05:30,2355.636474609375,12,32099.5184765625,28239.370057617187,-3860.148418945315,-12.025564874949158,Stop Loss,42
TATAMOTORS.NS,2022-05-02 00:00:00+05:30,426.5105590820313,2022-05-11 00:00:00+05:30,382.4652099609375,78,33301.15360839845,29802.45409057617,-3498.699517822275,-10.506241192016585,Stop Loss,9
ASIANPAINT.NS,2022-04-20 00:00:00+05:30,2973.703125,2022-06-07 00:00:00+05:30,2647.396240234375,11,32744.064375,29092.23728393555,-3651.8270910644533,-11.152638381240823,Stop Loss,48
KOTAKBANK.NS,2022-05-17 00:00:00+05:30,1833.5537109375,2022-06-29 00:00:00+05:30,1636.4288330078125,16,29366.892316123598,26156.678466796875,-3210.213849326723,-10.931404708302034,Stop Loss,43
MARUTI.NS,2022-05-09 00:00:00+05:30,7099.3662109375,2022-10-31 00:00:00+05:30,9250.337890625,3,21319.648768614137,27723.262658203126,6403.613889588989,30.03620725223256,Take Profit,175
INFY.NS,2022-10-31 00:00:00+05:30,1439.9947509765625,2023-03-23 00:00:00+05:30,1287.2530517578125,20,28828.886453534837,25719.315974121095,-3109.570479413742,-10.78630104019319,Stop Loss,143
DRREDDY.NS,2022-06-09 00:00:00+05:30,841.676513671875,2023-07-28 00:00:00+05:30,1103.0311279296875,35,29488.436264607033,38567.483388061526,9079.047123454493,30.788499742698995,Take Profit,414
ADANIPORTS.NS,2023-03-23 00:00:00+05:30,644.6605834960938,2023-08-21 00:00:00+05:30,850.3468017578125,40,25812.305203367923,33979.85819824219,8167.552994874266,31.642090586347884,Take Profit,151
COALINDIA.NS,2023-08-02 00:00:00+05:30,199.3662567138672,2023-10-10 00:00:00+05:30,262.2770690917969,167,33327.49487121582,43756.470267791745,10428.975396575923,31.29240717574361,Take Profit,69
HCLTECH.NS,2023-08-22 00:00:00+05:30,1098.9954833984375,2024-01-12 00:00:00+05:30,1449.3592529296875,30,33003.19450195313,43437.29681030274,10434.102308349611,31.61543137205134,Take Profit,143
BRITANNIA.NS,2023-10-17 00:00:00+05:30,4482.49755859375,2024-09-02 00:00:00+05:30,5845.5439453125,7,31410.81291015625,40877.888809570315,9467.075899414063,30.139544387127327,Take Profit,321
HINDUNILVR.NS,2022-07-05 00:00:00+05:30,2284.720947265625,2024-09-23 00:00:00+05:30,2974.4482421875,11,25158.356948215474,32686.21173339844,7527.854785182964,29.921885601185604,Take Profit,811
MandM.NS,2024-09-23 00:00:00+05:30,3025.492919921875,2024-10-25 00:00:00+05:30,2699.164794921875,11,33313.75211914063,29661.121931396483,-3652.6301877441438,-10.964331410887523,Stop Loss,32
SBIN.NS,2024-10-31 00:00:00+05:30,804.054931640625,2025-01-13 00:00:00+05:30,715.1403198242188,41,32999.58219726563,29291.432359680177,-3708.14983758545,-11.23695995730731,Stop Loss,74
MARUTI.NS,2024-02-13 00:00:00+05:30,10578.9951171875,2025-08-18 00:00:00+05:30,14068.0,3,31770.3153515625,42161.796,10391.4806484375,32.70814448471137,Take Profit,552
JSWSTEEL.NS,2024-09-03 00:00:00+05:30,928.4498291015624,2025-10-01 00:00:00+05:30,1146.0999755859375,35,32529.074018554686,40073.3856463623,7544.311627807616,23.192518863292317,End of backtest,393
BAJAJFINSV.NS,2025-01-20 00:00:00+05:30,1734.35498046875,2025-10-01 00:00:00+05:30,2007.0,19,32986.07462890625,38094.867,5108.792371093747,15.48772452790374,End of backtest,254
LT.NS,2025-08-20 00:00:00+05:30,3592.300048828125,2025-10-01 00:00:00+05:30,3670.300048828125,9,32364.030439453127,32999.66773901367,635.6372995605416,1.964023920783589,End of backtest,42
