Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held,Market Regime
SUNPHARMA.NS,2025-01-01 00:00:00+05:30,1872.464111328125,2025-01-13 00:00:00+05:30,1825.6525085449218,20,37487.6117265625,36476.53712072754,-1011.0746058349614,-2.6970899432319584,Stop Loss,2.192907703714951,12,bull
BAJAJ-AUTO.NS,2025-02-24 00:00:00+05:30,8238.1630859375,2025-03-07 00:00:00+05:30,8032.209008789062,4,32990.238356214475,32096.70719912109,-893.5311570933845,-2.7084713588468734,Stop Loss,5.212118756460788,11,bull
DIVISLAB.NS,2025-02-24 00:00:00+05:30,5676.70166015625,2025-04-01 00:00:00+05:30,5621.838662109375,5,28416.83830078125,28081.08411723633,-335.75418354492285,-1.1815325124881755,Trailing Stop,6.111033543770072,36,bull
BAJAJFINSV.NS,2025-01-20 00:00:00+05:30,1734.35498046875,2025-04-15 00:00:00+05:30,1942.4775781250003,19,32986.07462890625,36870.16691039063,3884.09228148438,11.774945413118918,Take Profit,3.3377959813579223,85,bull
GRASIM.NS,2025-04-01 00:00:00+05:30,2609.507080078125,2025-05-09 00:00:00+05:30,2661.11732421875,14,36571.42862109375,37218.386896523436,646.9582754296862,1.769026531975653,Trailing Stop,5.060697327230985,38,bull
ADANIENT.NS,2025-04-01 00:00:00+05:30,2334.056640625,2025-05-09 00:00:00+05:30,2275.705224609375,12,28036.881824303528,27281.154232617184,-755.7275916863437,-2.6954766097820757,Stop Loss,5.041689070111229,38,bull
LT.NS,2025-05-12 00:00:00+05:30,3554.0537109375,2025-07-21 00:00:00+05:30,3568.823952636719,10,35578.866609375,35652.55128684082,73.68467746581882,0.2071023742122324,Trailing Stop,6.95871231474807,70,bull
INDUSINDBK.NS,2025-05-12 00:00:00+05:30,788.5,2025-08-01 00:00:00+05:30,833.0359881591796,42,33150.33,34952.523991182854,1802.1939911828522,5.436428509709714,Trailing Stop,3.873473234997651,81,bull
NESTLEIND.NS,2025-06-27 00:00:00+05:30,1224.2027587890625,2025-08-01 00:00:00+05:30,1187.4766760253906,26,31862.077494925004,30843.519183083496,-1018.5583118415088,-3.1967730666769762,Stop Loss,0.7968164275732038,35,bull
MARUTI.NS,2025-08-05 00:00:00+05:30,12537.0,2025-08-29 00:00:00+05:30,14417.55,3,37649.3295,43209.39734999999,5560.067849999992,14.76803949456787,Take Profit,2.8124521516366072,24,bull
TITAN.NS,2025-08-29 00:00:00+05:30,3628.800048828125,2025-09-22 00:00:00+05:30,3519.936047363281,9,32692.530439453127,31647.745001843257,-1044.7854376098694,-3.1957925054006506,Stop Loss,4.137799110435195,24,bull
AXISBANK.NS,2025-09-23 00:00:00+05:30,1170.800048828125,2025-10-01 00:00:00+05:30,1159.5,28,32815.7313671875,32433.534,-382.1973671875021,-1.1646772790493458,End of backtest,3.57094154472329,8,bull
BHARTIARTL.NS,2025-09-23 00:00:00+05:30,1938.699951171875,2025-10-01 00:00:00+05:30,1867.5999755859375,19,36873.628572265625,35448.91513659668,-1424.713435668942,-3.8637733546530746,End of backtest,0.6865604880965422,8,bull
