Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,RSI at Buy,Profit/Loss,Return %,Days Held,Exit Reason,Investment After Trade,Ticker,Name,Holding Period
2023-06-23 00:00:00+05:30,2023-07-31 00:00:00+05:30,2160.2437791311836,2484.280346000861,2489.922119140625,27.98774347227109,319.3920427445452,14.784999999999988,25,Take Profit,100319.39204274454,ADANIENT.NS,Adani Enterprises,3
2025-06-20 00:00:00+05:30,2025-06-27 00:00:00+05:30,1334.5999755859375,1440.199951171875,1440.199951171875,25.30553212915956,102.82517565917969,7.704568974987111,5,Holding Period Complete,100102.82517565918,ADANIPORTS.NS,Adani Ports,5
2024-01-17 00:00:00+05:30,2024-01-19 00:00:00+05:30,3128.179045203001,3101.53173828125,3128.179045203001,20.802619110452866,-32.87701770523515,-1.0509953947697266,2,Holding Period Complete,99967.12298229476,ASIANPAINT.NS,Asian Paints,2
2023-11-07 00:00:00+05:30,2023-11-30 00:00:00+05:30,1548.2684570104575,1671.6304931640625,1671.6304931640625,29.147923268191207,120.14213720343048,7.759774260040938,15,Holding Period Complete,100120.14213720342,BAJAJFINSV.NS,Bajaj Finserv,15
2022-12-01 00:00:00+05:30,2022-12-12 00:00:00+05:30,186.5956941644393,192.8183135986328,192.8183135986328,27.49877604805053,5.843205426430446,3.131479240502229,7,Holding Period Complete,100005.84320542643,COALINDIA.NS,Coal India,7
2023-05-26 00:00:00+05:30,2023-07-03 00:00:00+05:30,1639.0421586827472,1763.6173095703125,1763.6173095703125,18.101328951870457,121.17249141931225,7.392884360991375,25,Holding Period Complete,100121.17249141932,GRASIM.NS,Grasim Industries,25
2023-10-12 00:00:00+05:30,2023-12-14 00:00:00+05:30,1132.2123406921394,1302.0441917959602,1330.6484375,26.706703508361386,167.3975945713327,14.78499999999999,42,Take Profit,100167.39759457133,HCLTECH.NS,HCL Technologies,23
2024-01-04 00:00:00+05:30,2024-02-19 00:00:00+05:30,966.0649522367138,1026.91748046875,1026.91748046875,24.89209115056991,58.859545799330746,6.092711019383763,30,Holding Period Complete,100058.85954579934,ICICIBANK.NS,ICICI Bank,30
2025-05-22 00:00:00+05:30,2025-06-09 00:00:00+05:30,725.7999877929688,834.669985961914,836.6500244140625,23.683224923756597,107.30952819519037,14.784999999999993,12,Take Profit,100107.3095281952,INDUSINDBK.NS,IndusInd Bank,1
2022-12-08 00:00:00+05:30,2022-12-09 00:00:00+05:30,1871.34470574319,1882.2611083984375,1882.2611083984375,28.875360079794433,7.162796841105939,0.3827620223640887,1,Holding Period Complete,100007.1627968411,KOTAKBANK.NS,Kotak Mahindra Bank,1
2023-07-27 00:00:00+05:30,2023-08-18 00:00:00+05:30,1416.5143421831865,1529.079345703125,1549.61279296875,29.469231528664835,109.61940983205218,7.73867278061601,15,Holding Period Complete,100109.61940983206,MandM.NS,MandM.NS,13
2024-03-27 00:00:00+05:30,2024-05-30 00:00:00+05:30,316.0730054740432,348.67025390624997,363.19818115234375,29.703023037741673,31.93250517282646,10.10288908568272,41,Trailing Stop,100031.93250517282,NTPC.NS,NTPC,30
2023-03-29 00:00:00+05:30,2023-05-29 00:00:00+05:30,132.0610013872369,145.38429199218749,151.4419708251953,29.971248471934814,13.045845311571162,9.878650907179917,38,Trailing Stop,100013.04584531157,ONGC.NS,Oil and Natural Gas Corporation,8
2023-05-31 00:00:00+05:30,2023-07-10 00:00:00+05:30,157.08421838153956,172.24079589843748,179.41749572753906,23.655816679852776,14.827252502617949,9.439046554380308,27,Trailing Stop,100014.82725250261,POWERGRID.NS,Power Grid Corporation,14
2024-03-27 00:00:00+05:30,2024-05-23 00:00:00+05:30,704.0203831624405,809.6234406368064,815.7206420898438,25.823371251792636,104.08941365056674,14.78499999999999,36,Take Profit,100104.08941365057,SBIN.NS,State Bank of India,18
